Date,Close
11/24/2021, 161.94
11/23/2021, 161.41
11/22/2021, 161.02
11/19/2021, 160.55
11/18/2021, 157.87
11/17/2021, 153.49
11/16/2021, 151.00
11/15/2021, 150.00
11/12/2021, 149.99
11/11/2021, 147.87
11/10/2021, 147.92
11/09/2021, 150.81
11/08/2021, 150.44
11/05/2021, 151.28
11/04/2021, 150.96
11/03/2021, 151.49
11/02/2021, 150.02
11/01/2021, 148.96
10/29/2021, 149.80
10/28/2021, 152.57
10/27/2021, 148.85
10/26/2021, 149.32
10/25/2021, 148.64
10/22/2021, 148.69
10/21/2021, 149.48
10/20/2021, 149.26
10/19/2021, 148.76
10/18/2021, 146.55
10/15/2021, 144.84
10/14/2021, 143.76
10/13/2021, 140.91
10/12/2021, 141.51
10/11/2021, 142.81
10/08/2021, 142.90
10/07/2021, 143.29
10/06/2021, 142.00
10/05/2021, 141.11
10/04/2021, 139.14
10/01/2021, 142.65
09/30/2021, 141.50
09/29/2021, 142.83
09/28/2021, 141.91
09/27/2021, 145.37
09/24/2021, 146.92
09/23/2021, 146.83
09/22/2021, 145.85
09/21/2021, 143.43
09/20/2021, 142.94
09/17/2021, 146.06
09/16/2021, 148.79
09/15/2021, 149.03
09/14/2021, 148.12
09/13/2021, 149.55
09/10/2021, 148.97
09/09/2021, 154.07
09/08/2021, 155.11
09/07/2021, 156.69
09/03/2021, 154.30
09/02/2021, 153.65
09/01/2021, 152.51
08/31/2021, 151.83
08/30/2021, 153.12
08/27/2021, 148.60
08/26/2021, 147.54
08/25/2021, 148.36
08/24/2021, 149.62
08/23/2021, 149.71
08/20/2021, 148.19
08/19/2021, 146.70
08/18/2021, 146.36
08/17/2021, 150.19
08/16/2021, 151.12
08/13/2021, 149.10
08/12/2021, 148.89
08/11/2021, 145.86
08/10/2021, 145.60
08/09/2021, 146.09
08/06/2021, 146.14
08/05/2021, 147.06
08/04/2021, 146.95
08/03/2021, 147.36
08/02/2021, 145.52
07/30/2021, 145.86
07/29/2021, 145.64
07/28/2021, 144.98
07/27/2021, 146.77
07/26/2021, 148.99
07/23/2021, 148.56
07/22/2021, 146.80
07/21/2021, 145.40
07/20/2021, 146.15
07/19/2021, 142.45
07/16/2021, 146.39
07/15/2021, 148.48
07/14/2021, 149.15
07/13/2021, 145.64
07/12/2021, 144.50
07/09/2021, 145.11
07/08/2021, 143.24
07/07/2021, 144.57
07/06/2021, 142.02
07/02/2021, 139.96
07/01/2021, 137.27
06/30/2021, 136.96
06/29/2021, 136.33
06/28/2021, 134.78
06/25/2021, 133.11
06/24/2021, 133.41
06/23/2021, 133.70
06/22/2021, 133.98
06/21/2021, 132.30
06/18/2021, 130.46
06/17/2021, 131.79
06/16/2021, 130.15
06/15/2021, 129.64
06/14/2021, 130.48
06/11/2021, 127.35
06/10/2021, 126.11
06/09/2021, 127.13
06/08/2021, 126.74
06/07/2021, 125.90
06/04/2021, 125.89
06/03/2021, 123.54
06/02/2021, 125.06
06/01/2021, 124.28
05/28/2021, 124.61
05/27/2021, 125.28
05/26/2021, 126.85
